firm_name,firm_group,reporting_period,period,product_category,complaints_closed
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN LIMITED,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,2026
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
HSBC Bank Plc,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,69
Interactive Investor Services Limited,ABERDEEN GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,287
JAMES HAY ADMINISTRATION COMPANY LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,1244
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,1270
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,397
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,44
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
MBNA Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
Monzo Bank Ltd,MONZO BANK LIMITED,2024-10-01 to 2025-03-31,H1 2025,Decumulation & pensions,25
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,41
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-10-05 to 2025-03-31,H1 2025,Decumulation & pensions,3
Newcastle Building Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
Nutmeg Saving and Investment Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,256
People's Administration Services Limited,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Decumulation & pensions,6548
Phoenix Life CA Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,599
Phoenix Life Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,11861
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,681
Quilter Life & Pensions Limited,QUILTER GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,499
ReAssure Life Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,193
ReAssure Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,3625
Rothesay Life Plc,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,726
Santander UK Plc,SANTANDER UK GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,20
Scottish Equitable Plc,AEGON N.V.,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,6340
Scottish Friendly Assurance Society Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,406
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,8104
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
Skipton Building Society,SKIPTON BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,47
ST. JAMES'S PLACE UK PLC,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,599
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,6248
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,1
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,103
The Prudential Assurance Company Limited,M&G PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,5697
The Royal Bank of Scotland Plc,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,7
The Royal London Mutual Insurance Society Limited,ROYAL LONDON GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,5655
"VANGUARD ASSET MANAGEMENT, LTD.",NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,737
Virgin Money Unit Trust Managers Ltd,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Decumulation & pensions,457
Wesleyan Assurance Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,371
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,1
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,1008
AJ Bell Management Limited,AJ BELL GROUP,2025-04-01 to 2025-09-30,H2 2025,Decumulation & pensions,1043
AJ Bell Securities Limited,AJ BELL GROUP,2025-04-01 to 2025-09-30,H2 2025,Decumulation & pensions,303
Aviva Life Services UK Limited,AVIVA PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,17930
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,10
Barclays Bank Plc,BARCLAYS GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,67
Barclays Bank UK PLC,BARCLAYS GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,1
Canada Life Limited,CANADA LIFE,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,288
Clydesdale Bank Plc,NATIONWIDE BUILDING SOCIETY,2025-04-01 to 2025-09-30,H2 2025,Decumulation & pensions,0
Cofunds Limited,AEGON N.V.,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,72
Countrywide Assured Plc,CHESNARA PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,399
Coutts & Company,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,20
EBS Pensions Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,776
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,429
Embark Services Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,432
Equiniti Financial Services Limited,EQUINITI GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,11
FCE Bank Plc,FORD MOTOR CO,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
FIL Life Insurance Limited,FIDELITY INTERNATIONAL GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,492
Financial Administration Services Limited,FIDELITY INTERNATIONAL GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,566
Forester Life Limited,FORSTERS FINANCIAL,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,21
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,46
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN LIMITED,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,2010
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
HSBC UK Bank Plc,HSBC GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,65
Interactive Investor Services Limited,ABERDEEN GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,229
J.P. MORGAN PERSONAL INVESTING LIMITED,JPMORGAN CHASE & CO,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,278
JAMES HAY ADMINISTRATION COMPANY LIMITED,JAMES HAY PARTNERSHIP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,732
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,1519
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,426
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,46
MARKS AND SPENCER FINANCIAL SERVICES PLC,HSBC GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
MBNA Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
Monzo Bank Ltd,MONZO GROUP,2025-04-01 to 2025-09-30,H2 2025,Decumulation & pensions,46
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,45
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2025-04-01 to 2025-09-30,H2 2025,Decumulation & pensions,3
Newcastle Building Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
Northern Bank Limited,DANSKE BANK A/S,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
OCTOPUS MONEY UNIT TRUST MANAGERS LIMITED,OCTOPUS MONEY,2025-04-01 to 2025-09-30,H2 2025,Decumulation & pensions,249
People's Administration Services Limited,PEOPLE'S PARTNERSHIP,2025-04-01 to 2025-09-30,H2 2025,Decumulation & pensions,2731
Phoenix Life CA Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,531
Phoenix Life Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,12443
QUILTER FINANCIAL SERVICES LIMITED,QUILTER GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,355
Quilter Life & Pensions Limited,QUILTER GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,820
ReAssure Life Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,156
ReAssure Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,3256
Rothesay Life Plc,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,569
"Royal London Mutual Insurance Society, Limited (THE)",ROYAL LONDON GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,6081
Santander UK Plc,SANTANDER UK GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,21
Scottish Equitable Plc,AEGON N.V.,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,6212
Scottish Friendly Assurance Society Limited,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,326
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,5551
Skipton Building Society,SKIPTON BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,52
ST. JAMES'S PLACE UK PLC,ST. JAMES'S PLACE PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,571
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,3663
THE CO-OPERATIVE BANK P.L.C.,COVENTRY BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
The National Farmers' Union Mutual Insurance Society Limited,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,76
The Prudential Assurance Company Limited,M&G PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,6617
The Royal Bank of Scotland Plc,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,5
True Potential Wealth Management LLP,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,854
UBS AG,UBS GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,6
"VANGUARD ASSET MANAGEMENT, LTD.","THE VANGUARD GROUP, INC.",2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,596
Wesleyan Assurance Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,466
Zurich Assurance Ltd,ZURICH INSURANCE GROUP LIMITED,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,777
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Home finance,855
Aldermore Bank Plc,FIRSTRAND LIMITED,2024-07-01 to 2024-12-31,H2 2024,Home finance,800
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),2024-02-01 to 2024-07-31,H2 2024,Home finance,0
Aviva Life Services UK Limited,AVIVA PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,1136
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,954
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,12514
Barclays Bank Plc,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,1
Barclays Bank UK PLC,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,6587
Cabot Credit Management Group Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,28
Capital Home Loans Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,571
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,1313
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-04-01 to 2024-09-30,H2 2024,Home finance,1841
Connells Limited,SKIPTON BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Home finance,401
Coutts & Company,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,108
Coventry Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,716
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2024-07-01 to 2024-12-31,H2 2024,Home finance,4
Elderbridge Limited,TECH MAHINDRA LIMITED,2024-04-01 to 2024-09-30,H2 2024,Home finance,1003
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
Experian Limited,EXPERIAN PLC,2024-04-01 to 2024-09-30,H2 2024,Home finance,0
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,5508
Kensington Mortgage Company Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,1028
Landmark Mortgages Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,715
Leeds Building Society,LEEDS BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Home finance,1271
Lenvi Servicing Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,1607
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,2759
London and Country Mortgages Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,602
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
MBNA Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
Metro Bank PLC,METRO BANK PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,229
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,7405
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-04-05 to 2024-10-04,H2 2024,Home finance,4518
Newcastle Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,231
Northern Bank Limited,DANSKE BANK A/S,2024-07-01 to 2024-12-31,H2 2024,Home finance,69
OneSavings Bank Plc,ONESAVINGS BANK PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,1187
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2024-04-01 to 2024-09-30,H2 2024,Home finance,266
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,683
Phoenix Life Limited,PHOENIX GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,6
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Home finance,431
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,1
Sainsbury's Bank Plc,J SAINSBURY PLC,2024-03-01 to 2024-08-31,H2 2024,Home finance,34
Santander UK Plc,SANTANDER UK GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,5334
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
Secure Trust Bank Plc,SECURE TRUST BANK PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,1
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,451
Skipton Building Society,SKIPTON BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Home finance,467
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,13
Swift 1st Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Home finance,872
Tandem Bank Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,2
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2024-07-01 to 2024-12-31,H2 2024,Home finance,3215
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,2024-04-01 to 2024-09-30,H2 2024,Home finance,1637
The Prudential Assurance Company Limited,M&G PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,31
The Royal Bank of Scotland Plc,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,1504
Topaz Finance Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,2288
TSB Bank plc,BANCO DE SABADELL SA,2024-07-01 to 2024-12-31,H2 2024,Home finance,1720
UK Mortgage Lending Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,670
Virgin Money Unit Trust Managers Ltd,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Home finance,0
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Home finance,593
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2024-07-01 to 2024-12-31,H2 2024,Home finance,1
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Home finance,863
Admiral Financial Services Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,8
Aldermore Bank Plc,FIRSTRAND LIMITED,2025-01-01 to 2025-06-30,H1 2025,Home finance,1039
Aviva Life Services UK Limited,AVIVA PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,880
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,876
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,12267
Barclays Bank Plc,BARCLAYS PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,3
Barclays Bank UK PLC,BARCLAYS PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,6587
Cabot Credit Management Group Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,30
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,1172
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-10-01 to 2025-03-31,H1 2025,Home finance,2246
Connells Limited,SKIPTON BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Home finance,405
Coutts & Company,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,82
Coventry Building Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,644
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2025-01-01 to 2025-06-30,H1 2025,Home finance,2
Elderbridge Limited,TECH MAHINDRA LIMITED,2024-10-01 to 2025-03-31,H1 2025,Home finance,783
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Embark Services Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Experian Limited,EXPERIAN PLC,2024-10-01 to 2025-03-31,H1 2025,Home finance,0
Family Assurance Friendly Society Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
HSBC Bank Plc,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,5186
Kensington Mortgage Company Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,894
Landmark Mortgages Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,633
Leeds Building Society,LEEDS BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Home finance,1098
Lenvi Servicing Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,782
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,2884
London and Country Mortgages Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,574
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
MBNA Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Metro Bank PLC,METRO BANK PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,218
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,6731
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-10-05 to 2025-03-31,H1 2025,Home finance,4519
Newcastle Building Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,197
Northern Bank Limited,DANSKE BANK A/S,2025-01-01 to 2025-06-30,H1 2025,Home finance,74
OneSavings Bank Plc,ONESAVINGS BANK PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,940
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2024-10-01 to 2025-03-31,H1 2025,Home finance,241
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,621
Phoenix Life Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,3
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Home finance,387
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,2
ReAssure Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,1
Santander UK Plc,SANTANDER UK GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,4896
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
SECURE TRUST BANK PUBLIC LIMITED COMPANY,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,2
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,472
Skipton Building Society,SKIPTON BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Home finance,611
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,28
Swift 1st Limited,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Home finance,845
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2025-01-01 to 2025-06-30,H1 2025,Home finance,1609
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,2024-10-01 to 2025-03-31,H1 2025,Home finance,1637
The Prudential Assurance Company Limited,M&G PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,34
The Royal Bank of Scotland Plc,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,1359
Topaz Finance Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,2209
TSB Bank plc,BANCO DE SABADELL SA,2025-01-01 to 2025-06-30,H1 2025,Home finance,1611
UK Mortgage Lending Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,676
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Home finance,552
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Home finance,899
Admiral Financial Services Limited,ADMIRAL GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,14
Aldermore Bank Plc,FIRSTRAND LIMITED,2025-07-01 to 2025-12-31,H2 2025,Home finance,656
Ascent Performance Group Limited,not on previous list,2025-05-01 to 2025-10-31,H2 2025,Home finance,471
Aviva Life Services UK Limited,AVIVA PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,757
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,959
