firm_name,firm_group,reporting_period,period,product_category,complaints_opened
Scottish Equitable Plc,AEGON N.V.,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,6683
Scottish Friendly Assurance Society Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,284
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,9046
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,0
Skipton Building Society,SKIPTON BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,44
St James's Place UK plc,ST. JAMES'S PLACE PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,528
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,2899
Suffolk Life Pensions Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,589
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,1
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,80
The Prudential Assurance Company Limited,M&G PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,7658
The Royal Bank of Scotland Plc,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,8
The Royal London Mutual Insurance Society Limited,ROYAL LONDON GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,4924
"Vanguard Asset Management, Ltd",NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,601
Virgin Money Unit Trust Managers Ltd,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Decumulation & pensions,713
Wesleyan Assurance Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,340
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,1085
AJ Bell Management Limited,AJ BELL GROUP,2024-10-01 to 2025-03-31,H1 2025,Decumulation & pensions,1350
AJ Bell Securities Limited,AJ BELL GROUP,2024-10-01 to 2025-03-31,H1 2025,Decumulation & pensions,216
Aviva Life Services UK Limited,AVIVA PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,17246
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,5
Barclays Bank Plc,BARCLAYS PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,49
Barclays Bank UK PLC,BARCLAYS PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,9
Canada Life Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,329
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-10-01 to 2025-03-31,H1 2025,Decumulation & pensions,1
Cofunds Limited,AEGON N.V.,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,76
Countrywide Assured Plc,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,332
Coutts & Company,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,14
Digital Moneybox Limited,NO GROUP,2024-12-01 to 2025-05-31,H1 2025,Decumulation & pensions,19
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,305
Embark Services Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,515
Equiniti Financial Services Limited,EQUINITI GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,26
Family Assurance Friendly Society Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,3
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,630
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,31
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,35
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN LIMITED,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,1938
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
HSBC Bank Plc,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,66
INTACT INSURANCE UK LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
Interactive Investor Services Limited,ABERDEEN GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,280
JAMES HAY ADMINISTRATION COMPANY LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,950
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,1386
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,384
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,43
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
MBNA Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
Monzo Bank Ltd,MONZO BANK LIMITED,2024-10-01 to 2025-03-31,H1 2025,Decumulation & pensions,30
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,41
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-10-05 to 2025-03-31,H1 2025,Decumulation & pensions,3
Newcastle Building Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
Nutmeg Saving and Investment Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,256
People's Administration Services Limited,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Decumulation & pensions,6548
Phoenix Life CA Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,623
Phoenix Life Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,11963
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,646
Quilter Life & Pensions Limited,QUILTER GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,575
ReAssure Life Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,195
ReAssure Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,3646
Rothesay Life Plc,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,725
Santander UK Plc,SANTANDER UK GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,27
Scottish Equitable Plc,AEGON N.V.,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,7562
Scottish Friendly Assurance Society Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,445
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,7493
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
Skipton Building Society,SKIPTON BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,49
ST. JAMES'S PLACE UK PLC,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,562
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,2996
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,0
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,104
The Prudential Assurance Company Limited,M&G PLC,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,6193
The Royal Bank of Scotland Plc,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,8
The Royal London Mutual Insurance Society Limited,ROYAL LONDON GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,6087
"VANGUARD ASSET MANAGEMENT, LTD.",NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,686
Virgin Money Unit Trust Managers Ltd,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Decumulation & pensions,381
Wesleyan Assurance Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,392
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,1
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2025-01-01 to 2025-06-30,H1 2025,Decumulation & pensions,949
AJ Bell Management Limited,AJ BELL GROUP,2025-04-01 to 2025-09-30,H2 2025,Decumulation & pensions,1051
AJ Bell Securities Limited,AJ BELL GROUP,2025-04-01 to 2025-09-30,H2 2025,Decumulation & pensions,316
Aviva Life Services UK Limited,AVIVA PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,17892
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,13
Barclays Bank Plc,BARCLAYS GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,66
Barclays Bank UK PLC,BARCLAYS GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,1
Canada Life Limited,CANADA LIFE,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,324
Clydesdale Bank Plc,NATIONWIDE BUILDING SOCIETY,2025-04-01 to 2025-09-30,H2 2025,Decumulation & pensions,0
Cofunds Limited,AEGON N.V.,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,87
Countrywide Assured Plc,CHESNARA PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,462
Coutts & Company,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,23
EBS Pensions Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,1176
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,419
Embark Services Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,730
Equiniti Financial Services Limited,EQUINITI GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,11
FCE Bank Plc,FORD MOTOR CO,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
FIL Life Insurance Limited,FIDELITY INTERNATIONAL GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,517
Financial Administration Services Limited,FIDELITY INTERNATIONAL GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,720
Forester Life Limited,FORSTERS FINANCIAL,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,20
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,41
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN LIMITED,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,2262
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
HSBC UK Bank Plc,HSBC GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,66
Interactive Investor Services Limited,ABERDEEN GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,265
J.P. MORGAN PERSONAL INVESTING LIMITED,JPMORGAN CHASE & CO,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,278
JAMES HAY ADMINISTRATION COMPANY LIMITED,JAMES HAY PARTNERSHIP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,764
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,1519
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,421
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,50
MARKS AND SPENCER FINANCIAL SERVICES PLC,HSBC GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
MBNA Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
Monzo Bank Ltd,MONZO GROUP,2025-04-01 to 2025-09-30,H2 2025,Decumulation & pensions,46
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,41
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2025-04-01 to 2025-09-30,H2 2025,Decumulation & pensions,2
Newcastle Building Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
Northern Bank Limited,DANSKE BANK A/S,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
OCTOPUS MONEY UNIT TRUST MANAGERS LIMITED,OCTOPUS MONEY,2025-04-01 to 2025-09-30,H2 2025,Decumulation & pensions,241
People's Administration Services Limited,PEOPLE'S PARTNERSHIP,2025-04-01 to 2025-09-30,H2 2025,Decumulation & pensions,2731
Phoenix Life CA Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,578
Phoenix Life Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,12980
QUILTER FINANCIAL SERVICES LIMITED,QUILTER GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,287
Quilter Life & Pensions Limited,QUILTER GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,853
ReAssure Life Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,166
ReAssure Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,3410
Rothesay Life Plc,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,553
"Royal London Mutual Insurance Society, Limited (THE)",ROYAL LONDON GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,5817
Santander UK Plc,SANTANDER UK GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,16
Scottish Equitable Plc,AEGON N.V.,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,5241
Scottish Friendly Assurance Society Limited,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,268
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,5592
Skipton Building Society,SKIPTON BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,51
ST. JAMES'S PLACE UK PLC,ST. JAMES'S PLACE PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,601
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,2020
THE CO-OPERATIVE BANK P.L.C.,COVENTRY BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,0
The National Farmers' Union Mutual Insurance Society Limited,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,74
The Prudential Assurance Company Limited,M&G PLC,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,6508
The Royal Bank of Scotland Plc,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,6
True Potential Wealth Management LLP,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,917
UBS AG,UBS GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,6
"VANGUARD ASSET MANAGEMENT, LTD.","THE VANGUARD GROUP, INC.",2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,569
Wesleyan Assurance Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,440
Zurich Assurance Ltd,ZURICH INSURANCE GROUP LIMITED,2025-07-01 to 2025-12-31,H2 2025,Decumulation & pensions,764
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Home finance,865
Aldermore Bank Plc,FIRSTRAND LIMITED,2024-07-01 to 2024-12-31,H2 2024,Home finance,749
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),2024-02-01 to 2024-07-31,H2 2024,Home finance,0
Aviva Life Services UK Limited,AVIVA PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,1125
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,882
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,12741
Barclays Bank Plc,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,3
Barclays Bank UK PLC,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,6445
Cabot Credit Management Group Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,26
Capital Home Loans Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,515
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,1287
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-04-01 to 2024-09-30,H2 2024,Home finance,2185
Connells Limited,SKIPTON BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Home finance,406
Countrywide Assured Plc,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
Coutts & Company,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,92
Coventry Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,722
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2024-07-01 to 2024-12-31,H2 2024,Home finance,7
Elderbridge Limited,TECH MAHINDRA LIMITED,2024-04-01 to 2024-09-30,H2 2024,Home finance,917
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
Experian Limited,EXPERIAN PLC,2024-04-01 to 2024-09-30,H2 2024,Home finance,0
Extracover Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,5656
Kensington Mortgage Company Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,992
Landmark Mortgages Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,751
Leeds Building Society,LEEDS BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Home finance,1271
Lenvi Servicing Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,813
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,2821
London and Country Mortgages Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,597
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
MBNA Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
Metro Bank PLC,METRO BANK PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,234
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,7113
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-04-05 to 2024-10-04,H2 2024,Home finance,4597
Newcastle Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,229
Northern Bank Limited,DANSKE BANK A/S,2024-07-01 to 2024-12-31,H2 2024,Home finance,63
OneSavings Bank Plc,ONESAVINGS BANK PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,1143
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2024-04-01 to 2024-09-30,H2 2024,Home finance,267
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,621
Phoenix Life Limited,PHOENIX GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,6
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Home finance,444
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,2
Sainsbury's Bank Plc,J SAINSBURY PLC,2024-03-01 to 2024-08-31,H2 2024,Home finance,28
Santander UK Plc,SANTANDER UK GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,5270
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,428
Skipton Building Society,SKIPTON BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Home finance,505
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,14
Swift 1st Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Home finance,843
Tandem Bank Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,2
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2024-07-01 to 2024-12-31,H2 2024,Home finance,2402
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,2024-04-01 to 2024-09-30,H2 2024,Home finance,1576
The Prudential Assurance Company Limited,M&G PLC,2024-07-01 to 2024-12-31,H2 2024,Home finance,36
The Royal Bank of Scotland Plc,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,1465
Topaz Finance Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,2336
TSB Bank plc,BANCO DE SABADELL SA,2024-07-01 to 2024-12-31,H2 2024,Home finance,1753
UK Mortgage Lending Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Home finance,652
Virgin Money Unit Trust Managers Ltd,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Home finance,0
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Home finance,602
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2024-07-01 to 2024-12-31,H2 2024,Home finance,0
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Home finance,896
Admiral Financial Services Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,9
Aldermore Bank Plc,FIRSTRAND LIMITED,2025-01-01 to 2025-06-30,H1 2025,Home finance,671
Aviva Life Services UK Limited,AVIVA PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,797
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,972
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,12120
Barclays Bank Plc,BARCLAYS PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,2
Barclays Bank UK PLC,BARCLAYS PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,6544
Cabot Credit Management Group Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,47
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,1133
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-10-01 to 2025-03-31,H1 2025,Home finance,1840
Connells Limited,SKIPTON BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Home finance,428
Coutts & Company,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,84
Coventry Building Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,658
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2025-01-01 to 2025-06-30,H1 2025,Home finance,2
Elderbridge Limited,TECH MAHINDRA LIMITED,2024-10-01 to 2025-03-31,H1 2025,Home finance,756
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Embark Services Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Experian Limited,EXPERIAN PLC,2024-10-01 to 2025-03-31,H1 2025,Home finance,0
Family Assurance Friendly Society Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
HSBC Bank Plc,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,5264
Kensington Mortgage Company Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,919
Landmark Mortgages Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,604
