firm_name,firm_group,reporting_period,period,product_category,uphold_rate
abrdn Fund Managers Limited,ABERDEEN GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,29.3
AJ Bell Securities Limited,AJ BELL GROUP,2024-10-01 to 2025-03-31,H1 2025,Investments,51.6
Aviva Life Services UK Limited,AVIVA PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,76.4
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,36.6
Barclays Bank Plc,BARCLAYS PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,70.4
Barclays Bank UK PLC,BARCLAYS PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,55.6
Canada Life Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,81.4
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-10-01 to 2025-03-31,H1 2025,Investments,71.0
Cofunds Limited,AEGON N.V.,2025-01-01 to 2025-06-30,H1 2025,Investments,46.9
Countrywide Assured Plc,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,68.7
Coutts & Company,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,74.3
Digital Moneybox Limited,NO GROUP,2024-12-01 to 2025-05-31,H1 2025,Investments,26.5
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,62.8
Equiniti Financial Services Limited,EQUINITI GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,39.1
Family Assurance Friendly Society Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,70.3
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2025-01-01 to 2025-06-30,H1 2025,Investments,46.9
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,2025-01-01 to 2025-06-30,H1 2025,Investments,46.4
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,2025-01-01 to 2025-06-30,H1 2025,Investments,35.6
Funding Circle Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,38.9
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,50.5
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN LIMITED,2025-01-01 to 2025-06-30,H1 2025,Investments,47.9
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,78.3
HSBC Bank Plc,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,66.7
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,65.2
Interactive Brokers (U.K.) Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,21.0
Interactive Investor Services Limited,ABERDEEN GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,46.7
Janus Henderson Fund Management UK Limited,JANUS HENDERSON GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,38.1
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,84.7
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,27.5
M & G Securities Limited,M&G PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,54.8
Monzo Bank Ltd,MONZO BANK LIMITED,2024-10-01 to 2025-03-31,H1 2025,Investments,31.4
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,72.0
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-10-05 to 2025-03-31,H1 2025,Investments,67.4
Newcastle Building Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,100.0
Nutmeg Saving and Investment Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,56.7
Phoenix Life CA Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,64.0
Phoenix Life Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,79.6
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,32.5
Quilter Life & Pensions Limited,QUILTER GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,74.3
RBS Collective Investment Funds Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,24.1
ReAssure Life Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,89.8
ReAssure Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,81.1
Santander UK Plc,SANTANDER UK GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,53.5
Scottish Equitable Plc,AEGON N.V.,2025-01-01 to 2025-06-30,H1 2025,Investments,90.0
Scottish Friendly Assurance Society Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,81.5
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,92.0
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,78.8
Skipton Building Society,SKIPTON BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Investments,66.0
ST. JAMES'S PLACE UK PLC,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,73.2
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,53.8
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,2025-01-01 to 2025-06-30,H1 2025,Investments,48.2
The Prudential Assurance Company Limited,M&G PLC,2025-01-01 to 2025-06-30,H1 2025,Investments,86.0
The Royal Bank of Scotland Plc,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,73.4
The Royal London Mutual Insurance Society Limited,ROYAL LONDON GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,61.1
Trading 212 UK Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,15.5
"VANGUARD ASSET MANAGEMENT, LTD.",NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,60.3
Virgin Money Unit Trust Managers Ltd,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Investments,85.8
Wesleyan Assurance Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Investments,88.8
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2025-01-01 to 2025-06-30,H1 2025,Investments,48.4
AJ Bell Securities Limited,AJ BELL GROUP,2025-04-01 to 2025-09-30,H2 2025,Investments,51.0
Aviva Life Services UK Limited,AVIVA PLC,2025-07-01 to 2025-12-31,H2 2025,Investments,76.7
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Investments,30.0
Barclays Bank Plc,BARCLAYS GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,66.9
Barclays Bank UK PLC,BARCLAYS GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,69.6
Canada Life Limited,CANADA LIFE,2025-07-01 to 2025-12-31,H2 2025,Investments,50.0
Clydesdale Bank Plc,NATIONWIDE BUILDING SOCIETY,2025-04-01 to 2025-09-30,H2 2025,Investments,50.0
Cofunds Limited,AEGON N.V.,2025-07-01 to 2025-12-31,H2 2025,Investments,51.8
Countrywide Assured Plc,CHESNARA PLC,2025-07-01 to 2025-12-31,H2 2025,Investments,65.0
Coutts & Company,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,73.3
Coventry Building Society,COVENTRY BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Investments,0.0
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Investments,68.3
Equiniti Financial Services Limited,EQUINITI GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Investments,35.4
ETORO (UK) LIMITED,ETORO GROUP LTD,2025-07-01 to 2025-12-31,H2 2025,Investments,3.3
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2025-07-01 to 2025-12-31,H2 2025,Investments,46.8
Financial Administration Services Limited,FIDELITY INTERNATIONAL GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,51.4
Forester Life Limited,FORSTERS FINANCIAL,2025-07-01 to 2025-12-31,H2 2025,Investments,38.5
Funding Circle Ltd,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,53.8
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Investments,49.9
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN LIMITED,2025-07-01 to 2025-12-31,H2 2025,Investments,43.8
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Investments,86.2
HSBC UK Bank Plc,HSBC GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,63.1
Interactive Brokers (U.K.) Limited,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,10.7
Interactive Investor Services Limited,ABERDEEN GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,47.9
J.P. MORGAN PERSONAL INVESTING LIMITED,JPMORGAN CHASE & CO,2025-07-01 to 2025-12-31,H2 2025,Investments,57.3
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,83.1
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Investments,58.1
M & G Securities Limited,M&G PLC,2025-07-01 to 2025-12-31,H2 2025,Investments,48.4
Monzo Bank Ltd,MONZO GROUP,2025-04-01 to 2025-09-30,H2 2025,Investments,44.6
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,74.1
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2025-04-01 to 2025-09-30,H2 2025,Investments,61.2
Newcastle Building Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,83.3
OCTOPUS MONEY UNIT TRUST MANAGERS LIMITED,OCTOPUS MONEY,2025-04-01 to 2025-09-30,H2 2025,Investments,82.4
Phoenix Life CA Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,65.9
Phoenix Life Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,80.2
QUILTER FINANCIAL SERVICES LIMITED,QUILTER GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,51.3
Quilter Investment Platform Limited,QUILTER GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,69.1
Quilter Life & Pensions Limited,QUILTER GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,70.7
RBS Collective Investment Funds Limited,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,24.0
ReAssure Life Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,84.3
ReAssure Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,82.1
"Royal London Mutual Insurance Society, Limited (THE)",ROYAL LONDON GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,71.4
Santander UK Plc,SANTANDER UK GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,51.1
Scottish Equitable Plc,AEGON N.V.,2025-07-01 to 2025-12-31,H2 2025,Investments,88.1
Scottish Friendly Assurance Society Limited,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,74.7
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Investments,88.3
Skipton Building Society,SKIPTON BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Investments,78.8
ST. JAMES'S PLACE UK PLC,ST. JAMES'S PLACE PLC,2025-07-01 to 2025-12-31,H2 2025,Investments,61.2
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2025-07-01 to 2025-12-31,H2 2025,Investments,48.6
The National Farmers' Union Mutual Insurance Society Limited,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,50.0
The Prudential Assurance Company Limited,M&G PLC,2025-07-01 to 2025-12-31,H2 2025,Investments,89.0
The Royal Bank of Scotland Plc,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,69.9
Trading 212 UK Limited,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,9.5
True Potential Wealth Management LLP,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,25.0
UBS AG,UBS GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,67.8
"VANGUARD ASSET MANAGEMENT, LTD.","THE VANGUARD GROUP, INC.",2025-07-01 to 2025-12-31,H2 2025,Investments,49.8
Wesleyan Assurance Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Investments,93.2
Zopa Bank Limited,ZOPA GROUP LIMITED,2025-07-01 to 2025-12-31,H2 2025,Investments,100.0
Zurich Assurance Ltd,ZURICH INSURANCE GROUP LIMITED,2025-07-01 to 2025-12-31,H2 2025,Investments,48.1
